Datetime,open,high,low,close,tick_volume
2025-07-23 00:00:00+00:00,3439.300048828125,3451.699951171875,3433.300048828125,3437.5,18312
2025-07-23 04:00:00+00:00,3436.800048828125,3443.10009765625,3429.800048828125,3434.300048828125,23783
2025-07-23 08:00:00+00:00,3434.39990234375,3445.800048828125,3432.39990234375,3440.5,36666
2025-07-23 12:00:00+00:00,3440.5,3442.0,3406.300048828125,3406.300048828125,91586
2025-07-23 16:00:00+00:00,3406.5,3406.5,3390.60009765625,3400.39990234375,68575
2025-07-23 20:00:00+00:00,3400.5,3401.10009765625,3394.89990234375,3397.10009765625,4825
2025-07-24 00:00:00+00:00,3397.199951171875,3400.300048828125,3379.10009765625,3388.800048828125,25597
2025-07-24 04:00:00+00:00,3388.5,3390.0,3370.699951171875,3372.60009765625,23205
2025-07-24 08:00:00+00:00,3372.60009765625,3379.39990234375,3365.39990234375,3366.39990234375,31781
2025-07-24 12:00:00+00:00,3366.300048828125,3381.199951171875,3355.199951171875,3375.60009765625,88360
2025-07-24 16:00:00+00:00,3375.60009765625,3376.89990234375,3369.0,3374.300048828125,29926
2025-07-24 20:00:00+00:00,3374.39990234375,3374.699951171875,3367.60009765625,3371.800048828125,4875
2025-07-25 00:00:00+00:00,3371.699951171875,3376.60009765625,3361.39990234375,3361.5,15265
2025-07-25 04:00:00+00:00,3360.89990234375,3365.60009765625,3354.60009765625,3356.10009765625,21498
2025-07-25 08:00:00+00:00,3356.199951171875,3357.699951171875,3339.800048828125,3342.10009765625,31124
2025-07-25 12:00:00+00:00,3342.10009765625,3348.699951171875,3325.5,3328.199951171875,91256
2025-07-25 16:00:00+00:00,3328.10009765625,3341.199951171875,3326.5,3339.199951171875,26634
2025-07-25 20:00:00+00:00,3339.10009765625,3340.0,3337.300048828125,3338.5,2786
2025-07-28 00:00:00+00:00,3334.39990234375,3343.0,3327.39990234375,3342.300048828125,14342
2025-07-28 04:00:00+00:00,3343.0,3345.39990234375,3333.39990234375,3334.60009765625,16361
2025-07-28 08:00:00+00:00,3334.60009765625,3340.800048828125,3331.199951171875,3336.10009765625,26641
2025-07-28 12:00:00+00:00,3336.300048828125,3338.10009765625,3300.0,3314.10009765625,77405
2025-07-28 16:00:00+00:00,3314.0,3317.39990234375,3307.89990234375,3316.5,26468
2025-07-28 20:00:00+00:00,3316.300048828125,3317.89990234375,3308.300048828125,3310.5,5389
2025-07-29 00:00:00+00:00,3310.300048828125,3318.800048828125,3305.800048828125,3311.10009765625,7657
2025-07-29 04:00:00+00:00,3311.199951171875,3320.300048828125,3307.39990234375,3315.60009765625,11040
2025-07-29 08:00:00+00:00,3315.800048828125,3328.0,3312.800048828125,3313.39990234375,19447
2025-07-29 12:00:00+00:00,3313.5,3332.300048828125,3309.89990234375,3318.39990234375,49290
2025-07-29 16:00:00+00:00,3318.5,3328.60009765625,3316.300048828125,3323.699951171875,15784
2025-07-29 20:00:00+00:00,3323.39990234375,3327.10009765625,3323.300048828125,3326.300048828125,1642
2025-07-30 00:00:00+00:00,3326.10009765625,3330.800048828125,3320.0,3326.39990234375,1806
