Date,open,high,low,close,tick_volume
2025-07-23 04:00:00+00:00,3430.300048828125,3433.89990234375,3388.10009765625,3394.10009765625,63
2025-07-24 04:00:00+00:00,3367.0,3371.0,3367.0,3371.0,1175
2025-07-25 04:00:00+00:00,3344.0,3345.0,3326.5,3334.0,67
2025-07-28 04:00:00+00:00,3326.60009765625,3326.800048828125,3309.10009765625,3309.10009765625,533
2025-07-29 04:00:00+00:00,3323.39990234375,3323.39990234375,3323.39990234375,3323.39990234375,113144
2025-07-30 04:00:00+00:00,3325.800048828125,3331.800048828125,3263.89990234375,3295.800048828125,19252
2025-07-31 04:00:00+00:00,3272.89990234375,3312.0,3272.89990234375,3293.199951171875,3704
2025-08-01 04:00:00+00:00,3286.199951171875,3360.60009765625,3281.0,3347.699951171875,3420
2025-08-04 04:00:00+00:00,3367.60009765625,3386.5,3347.39990234375,3374.39990234375,351
2025-08-05 04:00:00+00:00,3378.5,3387.199951171875,3351.199951171875,3381.89990234375,915
2025-08-06 04:00:00+00:00,3380.699951171875,3383.300048828125,3361.300048828125,3380.0,1492
2025-08-07 04:00:00+00:00,3384.89990234375,3422.89990234375,3384.89990234375,3400.300048828125,5464
2025-08-08 04:00:00+00:00,3438.800048828125,3477.0,3402.5,3439.10009765625,7657
2025-08-11 04:00:00+00:00,3383.89990234375,3383.89990234375,3349.199951171875,3353.10009765625,1488
2025-08-12 04:00:00+00:00,3356.199951171875,3356.199951171875,3330.10009765625,3348.89990234375,1611
2025-08-13 04:00:00+00:00,3358.800048828125,3363.39990234375,3358.699951171875,3358.699951171875,1011
2025-08-14 04:00:00+00:00,3346.800048828125,3356.0,3328.89990234375,3335.199951171875,592
2025-08-15 04:00:00+00:00,3346.800048828125,3346.800048828125,3335.89990234375,3336.0,1185
2025-08-18 04:00:00+00:00,3333.5,3347.800048828125,3331.699951171875,3331.699951171875,646
2025-08-19 04:00:00+00:00,3330.199951171875,3343.5,3313.39990234375,3313.39990234375,1655
2025-08-20 04:00:00+00:00,3310.60009765625,3343.5,3310.10009765625,3343.39990234375,1213
2025-08-21 04:00:00+00:00,3349.39990234375,3349.39990234375,3326.5,3336.89990234375,142
2025-08-22 04:00:00+00:00,3349.39990234375,3377.699951171875,3349.39990234375,3374.39990234375,1240
2025-08-25 04:00:00+00:00,3366.0,3378.0,3366.0,3373.800048828125,1044
2025-08-26 04:00:00+00:00,3378.89990234375,3396.5,3371.10009765625,3388.60009765625,905
2025-08-27 04:00:00+00:00,3397.0,3404.60009765625,3382.0,3404.60009765625,3222
2025-08-28 04:00:00+00:00,3409.0,3434.60009765625,3400.0,3431.800048828125,1035
2025-08-29 04:00:00+00:00,3432.5,3475.60009765625,3426.60009765625,3473.699951171875,0
